"Id","Name","Short.description","Gender","Country","Occupation","Birth.year","Death.year","Manner.of.death","Age.of.death"
"Q5337183","Edgar Cooper","Welsh cricketer (1891-1959)","Male","Wales","Athlete",1891,1959,"",68
"Q1022480","C. Frank Reavis","American politician (1870-1932)","Male","United States of America","Politician",1870,1932,"",62
"Q17384677","Ivan Maksimovitsj Hroesjtsjjov","","","Soviet Union","",1915,1990,"",75
"Q107683","Ulrich Schamoni","German film director","Male","Germany","Artist",1939,1998,"natural causes",59
"Q8008214","William E. Cooper","American businessman","Male","United States of America","Businessperson",1921,2008,"",87
"Q6186640","Jesse Mann","American philosopher","Male","United States of America","Philosopher",1921,2016,"",95
"Q6242827","John Stuart Williams","Confederate Army general","Male","United States of America","Politician",1818,1898,"",80
"Q18508597","Pierre-Louis de La Rive","Swiss draftsman, engraver, painter","Male","Switzerland; Republic of Geneva","Artist",1753,1817,"",64
"Q2958365","Charles Kiesler","American academic","Male","United States of America","Psychologist",1934,2002,"",68
"Q7807533","Timothy Stansfeld Engleheart","British engraver","Male","United Kingdom of Great Britain and Ireland","Engraver",1803,1879,"",76
"Q21461431","Oldfield Bowles","British painter (1739-1810)","","Kingdom of Great Britain; United Kingdom of Great Britain and Ireland","Artist",1739,1810,"",71
"Q3766639","Giovanni Battista De Rolandis","Italian patriot","Male","","Artist",1774,1796,"",22
"Q7916808","Vasily Stroganov","Russian obstetrician and gynaecologist (1858—1938)","Male","Russian Empire","Gynaecologist; obstetrician",1858,1938,"",80
"Q21182340","Тихон (Руднев)","","","","",1834,1904,"",70
"Q4292780","Aleksey Ivanovitsj Migoenov","Russisch geograaf (1908-1977)","Male","Soviet Union","Geographer",1908,1977,"",69
"Q5534457","Geoffrey Blodgett","American historian","Male","United States of America","Researcher",1931,2001,"",70
"Q64735187","Marius Ouédraogo","roman-catholic bishop","Male","","Religious figure",1933,1995,"",62
"Q3720365","Egidio Fontana","Italian association football player","Male","Italy","Athlete",1895,1977,"",82
"Q931452","Evgeny Lifshitz","Soviet physicist","Male","Soviet Union; Russian Empire","Researcher",1915,1985,"",70
"Q60694652","Bobby Grant","(1935-2017)","Male","","Athlete",1935,2017,"",82
"Q19370676","James Conway","opvoeder","Male","","",1848,1926,"",78
"Q100441","Anton Sommer","German poet","Male","German Empire","Artist",1816,1888,"",72
"Q3759712","Geneviève Behrend","French writer","Female","France","Artist",1881,1960,"",79
"Q4125619","Андрей Степанович Воронов","русский педагог","","Russian Empire","Teacher",1820,1875,"",55
"Q4822216","Aurelia Browder","American activist","Female","United States of America","Activist",1919,1971,"",52
"Q35822335","Madeleine Mabille","French palaeographer","Female","","",1903,1993,"",90
"Q16003022","Lyon Blease","British academic","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Academic",1884,1963,"",79
"Q19561531","Nolan Mettetal","American politician","Male","United States of America","Politician",1945,2020,"",75
"Q5239921","David Snell","American journalist","Male","United States of America","Journalist",1921,1987,"",66
"Q16090861","Frederick Rusk","Irish dean","Male","Ireland","",1928,2019,"",91
"Q29342011","Joachim Boessneck","var en tysk osteolog och historiker inom veterinärmedicin","Male","","",1925,1991,"",66
"Q16015616","Jack D. Rogers","American academic","Male","","",1919,2002,"",83
"Q47516130","Imre Zatykó","","Male","","",1900,1987,"",87
"Q5200642","Cyril Berry","British newspaper editor","Male","","Artist",1918,2002,"",84
"Q66763726","Ward Meyers","American basketball player and coach","Male","","Athlete",1908,1987,"",79
"Q55233156","Louis Dehaut","1805-1841: Faculteit: Letteren en Wijsbegeerte Discipline: Aardwetenschappen en geografie, Cultuurwetenschappen, Wiskunde, Toegepaste Wiskunde en Informatica Eerste aanstelling: 1835","Male","","",1805,1841,"",36
"Q23009945","Rémy Lejeune","French draughtsperson, printmaker and painter (1932-1996)","Male","France","Artist",1932,1996,"",64
"Q7661000","Sylvia Ruegger","Canadian distance runner","Female","Canada","Athlete",1961,2019,"",58
"Q7802872","Tillman Davis Johnson","United States federal judge","Male","United States of America","Politician",1858,1953,"",95
"Q9312659","Roman Szczerbakiewicz","Polish sportsperson","Male","Poland","Athlete",1931,2004,"",73
"Q26213629","Jerry Vaflor","association football player (1939-2016)","Male","","Athlete",1939,2016,"",77
"Q15042870","Václav Naxera","Czech member of Czech council, attorney, mayor and mayor","Male","","Lawyer",1835,1908,"",73
"Q4782912","Aquila Walsh","Canadian politician","Male","Canada","Politician",1823,1885,"",62
"Q355177","Adeline Rittershaus","German philologist, Germanist, champion for the equality of women","Female","Germany","Teacher",1876,1924,"",48
"Q11434836","Ōshima Hisanao","Japanese general","Male","Japan","Military personnel",1848,1928,"",80
"Q6902200","Monroe G. McKay","United States federal judge","Male","United States of America","Judge",1928,2020,"",92
"Q42529566","Christiane Thun-Salm","Czechoslovak writer","Female","","Artist",1859,1935,"",76
"Q4858770","Barbara Branden","Canadian writer","Female","Canada","Artist",1929,2013,"",84
"Q1582354","Hans Schneider","German historian of modern age","Male","Germany","Researcher",1907,1994,"",87
"Q12795016","Ljubo Ivančić","Croatian painter","","Croatia","Artist",1925,2003,"",78
"Q6904061","Montagu Burrows","British historian, 1819-1905","Male","United Kingdom of Great Britain and Ireland","Researcher",1819,1905,"",86
"Q59527980","Helmut Rumpf","born:1915-07-27|died:1986-04-23|; Rumpf, Helmut, 1915-1986","Male","","",1915,1986,"",71
"Q55713033","Hans König","deutscher Bildhauer","Male","","",1913,2005,"",92
"Q21085922","Francesc Xavier Aulí","Spanish photographer","Male","Spain","Artist",1868,1906,"",38
"Q4734465","Alonso Andrada","Biographer and ascetic writer","Male","","Religious figure",1590,1672,"",82
"Q773855","Alfred Stevens","Belgian painter (1823-1906)","Male","Belgium","Artist",1823,1906,"",83
"Q345647","Philip the Tetrarch","Son of Herod the Great and ruler of the northeast part of his father's kingdom (r. 4 BCE-34 CE)","Male","","Sovereign",-4,34,"",38
"Q5235415","David J. Dyson","Canadian politician","Male","Canada","Politician",1863,1949,"",86
"Q16026432","Pierre Louis Roblin","French politician","Male","France","Politician",1877,1916,"",39
"Q726424","Jack Bradbury","Animator (1914-2004)","Male","United States of America","Artist",1914,2004,"natural causes",90
"Q63158274","William Frederick Gooch","William Frederick Gooch (1825-1915) 1825 April 19th. Born the 5th son (and 10th Child) of John Gooch of Bedlington and his wife Anna the daughter of T...","Male","","",1825,1915,"",90
"Q888589","Bobby Kromm","Canadian ice hockey coach","Male","Canada","Athlete",1928,2010,"natural causes",82
"Q1618184","Hilda Sehested","Danish composer and pianist","Female","Denmark","Artist",1858,1936,"",78
"Q64745728","Gabriel Ortiz de Orbé","roman-catholic bishop","Male","","Religious figure",1600,1661,"",61
"Q11993361","Olaf Hanssen","Norwegian botanist (1883-1949)","Male","Norway","Researcher",1883,1949,"",66
"Q5546019","George Washington Rodgers","United States Navy officer 1822-1863","Male","United States of America","Military personnel",1822,1863,"",41
"Q55683037","Günther Ziessler","(1924-2001)","Male","","Artist",1924,2001,"",77
"Q7698573","Temple Hoyne Buell","American architect","Male","United States of America","Architect",1895,1990,"",95
"Q2731878","Arnie Risen","American basketball player","Male","United States of America","Athlete",1924,2012,"",88
"Q20029058","Johann Hase","German sculptor","Male","Germany","Artist",1569,1611,"",42
"Q85201","Maria von Maltzan","German resistance member","Female","Germany","Artist",1909,1997,"",88
"Q1239836","Donald E. Stokes","American political scientist","Male","United States of America","Researcher",1927,1997,"",70
"Q7029528","Nicolas Bentley","Author, illustrator","Male","United Kingdom","Artist",1907,1978,"",71
"Q55074329","Vilém Zavadil","entomoloog","","","",1876,1953,"",77
"Q6135030","Murai Jun","Japanese founder of a religious movement","Male","","",1897,1970,"",73
"Q13506851","Pieter Oosterhuis","Dutch photographer, painter, draughtsman and copyist","Male","Kingdom of the Netherlands","Artist",1816,1885,"",69
"Q1808250","Laurenz Hannibal Fischer","German politician (1784-1868)","","Germany","Politician",1784,1868,"",84
"Q6768432","Mark Krasniqi","Albanian writer","Male","Albania","Artist",1920,2015,"",95
"Q316597","Willem van Bemmel","painter from the Northern Netherlands (1630-1708)","Male","Netherlands; Germany","Artist",1630,1708,"",78
"Q17446199","Richard Jencks","American lawyer","Male","United States of America","Lawyer",1921,2014,"",93
"Q59601869","Lothar Ostenburg","* 1927 Paullina, Iowa/USA, † 10.4.1971 Wien. Sänger (Bariton).","Male","","",1927,1971,"",44
"Q5484739","Kaarina Helakisa","Finnish author and translator","","Finland","Artist",1946,1998,"",52
"Q17626544","Clara Millicent Taylor","British educator and chemist","Female","","Researcher",1871,1960,"",89
"Q5544496","George Shelvocke","English naval officer and privateer","Male","","Privateer; naval officer; explorer",1675,1742,"",67
"Q5113315","Christopher Tancred","Member of the Parliament of England for Aldborough (1659-1705)","Male","Kingdom of England","Politician",1659,1705,"",46
"Q1696455","Johann Schleinitz","Bischof von Meißen","Male","","",1470,1537,"",67
"Q8314976","Henri Leonetti","French association football player (1937-2018)","Male","France","Athlete",1937,2018,"",81
"Q22019356","Bernard Schlichting","politicus","Male","","Politician",1838,1884,"",46
"Q4235924","Wilhelm Kotarbiński","Polish painter (1848-1921)","Male","Poland","Artist",1848,1921,"",73
"Q3763631","Gianni Sanjust","Italian record producer","Male","Italy","Record producer",1934,2020,"",86
"Q1279483","Fernando Casas Alemán","Mexican politician (1905-1968)","Male","Mexico","Politician",1905,1968,"",63
"Q1523059","Ludwig Rudolf Alioth","(1848-1916)","Male","Switzerland","",1848,1916,"",68
"Q6281443","Joseph Benjamin Prince","Canadian politician","Male","Canada","Politician",1855,1920,"",65
"Q4883652","Belle Kinney Scholz","American sculptor","Female","United States of America","Artist",1890,1959,"",69
"Q2912147","Zu Yue","jin dynasty minister and warlord","","","",266,330,"capital punishment",64
"Q5344368","Edward Matthews","American opera singer","Male","United States of America","Artist",1904,1954,"",50
"Q104781","Helfrich Bernhard Wenck","German historian","Male","Germany","Researcher",1739,1803,"",64
"Q17626717","H. J. Grasett","Canadian army and militia officer","Male","Canada","Military personnel",1847,1930,"natural causes",83
"Q15920243","Hao Jing","Yuan dynasty official","","Yuan dynasty","Politician",1223,1275,"",52
"Q23565844","Ernst Schoen","deutscher Rundfunkpionier, Komponist, Autor und Übersetzer","Male","","Artist",1894,1960,"",66
"Q7442330","Sebag Shaw","English Barrister and Lord Justice of Appeal","Male","","Judge",1906,1982,"",76
"Q76559","Rudolf von Delbrück","Prussian statesman under Bismarck (1817-1903)","Male","Germany","Politician",1817,1903,"",86
"Q2264079","Anton Balasingham","Sri Lankan rebel (1938-2006)","Male","United Kingdom; Sri Lanka","Politician",1938,2006,"natural causes",68
"Q2886487","Aharon Yariv","Israeli politician","Male","Israel","Politician",1920,1994,"",74
"Q19969805","Hedwig Thöne","deutsche Pädagogin und Politikerin (DVP), MdL","Female","Germany","Politician",1887,1962,"",75
"Q21051998","Wolfgang Förster","German mountaineer","Male","Germany; Chile","Athlete",1924,1993,"",69
"Q20741957","Irene Leisner","Estonian teacher","Female","Estonia","Teacher",1930,2015,"",85
"Q92266","Otto Wallburg","German film actor","Male","Weimar Republic; German Empire","Artist",1889,1944,"",55
"Q5941540","Humphrey Nicholls","English politician","Male","","Politician",1577,1643,"",66
"Q4943178","Booker Bradshaw","American actor","Male","United States of America","Artist",1941,2003,"natural causes",62
"Q55773036","Brian Levy","born 1938; died 2004; VIAF 93341232","Male","","Artist",1938,2004,"",66
"Q6251830","John Palocaren","Founding principal of St. Thomas College, Thrissur","Male","India; British Raj","",1886,1948,"",62
"Q983603","Levon Mirzoyan","Soviet politician (1897-1939)","Male","Soviet Union","Politician",1897,1939,"unnatural death",42
"Q761336","August Fritzsche","German entrepreneur","Male","Germany","Entrepreneur",1816,1902,"",86
"Q20562785","Aleksi Japaridze","Georgian agronomist","","Soviet Union; Russian Empire; Democratic Republic of Georgia","",1899,1978,"",79
"Q21996972","Michael Giblett","Australian rules footballer","Male","","Athlete",1934,1999,"",65
"Q2959105","Charles François Louis Delalot","French politician","Male","France","Politician",1772,1842,"",70
"Q10899459","劉冕執","","","Qing dynasty","Politician",1872,1944,"",72
"Q72801","Georg Volkert","German footballer (1945-2020)","Male","Germany","Athlete",1945,2020,"",75
"Q16012796","Herbert Heslip","British politician (1924-1992)","Male","United Kingdom; United Kingdom of Great Britain and Ireland","Politician",1924,1992,"",68
"Q28081980","George Cadbury","English confectionery manufacturer","Male","United Kingdom; United Kingdom of Great Britain and Ireland","",1878,1954,"",76
"Q4886258","Ben Overton","American lawyer, judge, Florida Supreme Court justice","Male","","Judge",1926,2012,"",86
"Q4218204","Daniil Kashkarov","Russian zoologist","","Soviet Union; Russian Empire","Researcher",1878,1941,"",63
"Q594651","Anton Switalla","German politician (1896-1970)","Male","German Democratic Republic","Politician",1896,1970,"",74
"Q16859283","John Dalrymple, 5th Earl of Stair","Scottish soldier and politician","Male","","Politician",1720,1789,"",69
"Q7704669","Terry Leahy","Irish hurler","Male","United States of America","Hurler",1918,1988,"",70
"Q42402883","Fernando De Souza","Uruguayan sculptor","Male","Uruguay","Artist",1959,1994,"",35
